year,event_time,coef,se,pvalue,ci_low,ci_high
2014,-4,10.468495702150125,2.580166343679677,4.96443847052709e-05,5.411369668537959,15.525621735762293
2015,-3,12.214673507705472,2.376930412853905,2.764344344119528e-07,7.555889898511818,16.873457116899125
2016,-2,8.006085233320116,1.7452225553654406,4.4873713739829206e-06,4.585449024803852,11.42672144183638
2017,-1,2.137757993985833,1.1561350210081334,0.06444977730971134,-0.1282666471901086,4.403782635161774
2018,0,0.0,0.0,,0.0,0.0
2019,1,-2.300255328281718,1.391173947519052,0.09823657098928465,-5.02695626541906,0.4264456088556239
2020,2,-4.034521266494746,1.8181216569339596,0.026482634541007227,-7.598039714085306,-0.47100281890418527
2021,3,-2.6659691118709326,2.479879727195223,0.28235696284124645,-7.526533377173569,2.1945951534317043
2022,4,-8.63124747219699,3.2337970031663756,0.007606041251336118,-14.969489598403086,-2.293005345990893
