GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AHY2E001,AHY2E002,AHY2E003,AHY2E004,AHY2E005,AHY2E006,AHY2E007,AHY2E008,AHY2E009,AHY2E010,NAME_M,AHY2M001,AHY2M002,AHY2M003,AHY2M004,AHY2M005,AHY2M006,AHY2M007,AHY2M008,AHY2M009,AHY2M010
"G4803550002400","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"002400",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355002400",,,"Census Tract 24, Nueces County, Texas",6011,5555,85,0,0,0,322,49,0,49,"Census Tract 24, Nueces County, Texas",458,494,95,19,19,19,251,68,19,68
"G4803550002500","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"002500",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355002500",,,"Census Tract 25, Nueces County, Texas",4552,4063,168,0,288,0,33,0,0,0,"Census Tract 25, Nueces County, Texas",514,492,181,13,162,13,53,13,13,13
"G4803550002601","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"002601",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355002601",,,"Census Tract 26.01, Nueces County, Texas",2497,2303,73,19,44,0,22,36,9,27,"Census Tract 26.01, Nueces County, Texas",264,257,61,28,40,13,26,35,15,31
"G4803550002602","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"002602",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355002602",,,"Census Tract 26.02, Nueces County, Texas",2105,1992,29,6,8,0,48,22,12,10,"Census Tract 26.02, Nueces County, Texas",197,199,45,9,12,13,35,24,19,16
"G4803550002603","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"002603",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355002603",,,"Census Tract 26.03, Nueces County, Texas",3231,2961,64,27,47,0,90,42,0,42,"Census Tract 26.03, Nueces County, Texas",399,413,56,34,39,13,103,61,13,61
"G4803550002703","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"002703",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355002703",,,"Census Tract 27.03, Nueces County, Texas",5284,4797,225,90,46,0,85,41,0,41,"Census Tract 27.03, Nueces County, Texas",450,431,123,109,53,19,88,43,19,43
"G4803550002704","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"002704",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355002704",,,"Census Tract 27.04, Nueces County, Texas",5099,4096,178,85,364,19,113,244,0,244,"Census Tract 27.04, Nueces County, Texas",486,464,178,113,181,35,91,227,19,227
"G4803550002705","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"002705",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355002705",,,"Census Tract 27.05, Nueces County, Texas",5298,4741,94,13,143,0,51,256,112,144,"Census Tract 27.05, Nueces County, Texas",465,508,74,24,148,19,41,188,143,122
"G4803550002706","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"002706",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355002706",,,"Census Tract 27.06, Nueces County, Texas",3303,2935,287,0,70,0,0,11,0,11,"Census Tract 27.06, Nueces County, Texas",280,291,127,13,39,13,13,20,13,20
"G4803550002900","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"002900",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355002900",,,"Census Tract 29, Nueces County, Texas",1115,724,251,17,54,0,0,69,0,69,"Census Tract 29, Nueces County, Texas",226,185,185,30,40,13,13,60,13,60
