GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AQNGE001,AQNGE002,AQNGE003,AQNGE004,AQNGE005,AQNGE006,AQNGE007,AQNGE008,AQNGE009,AQNGE010,NAME_M,AQNGM001,AQNGM002,AQNGM003,AQNGM004,AQNGM005,AQNGM006,AQNGM007,AQNGM008,AQNGM009,AQNGM010
"G4800050000102","2018-2022","TX",,,"Texas","48","Angelina County","005",,,"000102",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48005000102",,,"48005000102","Census Tract 1.02, Angelina County, Texas",5271,4463,349,110,44,0,27,278,138,140,"Census Tract 1.02, Angelina County, Texas",589,697,239,136,86,21,41,201,128,157
"G4800050000103","2018-2022","TX",,,"Texas","48","Angelina County","005",,,"000103",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48005000103",,,"48005000103","Census Tract 1.03, Angelina County, Texas",3292,2234,324,10,28,0,222,474,193,281,"Census Tract 1.03, Angelina County, Texas",596,632,142,18,40,15,330,444,199,265
"G4800050000104","2018-2022","TX",,,"Texas","48","Angelina County","005",,,"000104",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48005000104",,,"48005000104","Census Tract 1.04, Angelina County, Texas",2878,2763,26,0,0,0,61,28,28,0,"Census Tract 1.04, Angelina County, Texas",603,608,47,15,15,15,78,48,48,15
"G4800050000201","2018-2022","TX",,,"Texas","48","Angelina County","005",,,"000201",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48005000201",,,"48005000201","Census Tract 2.01, Angelina County, Texas",2515,2133,1,51,98,0,9,223,144,79,"Census Tract 2.01, Angelina County, Texas",402,372,3,80,102,15,22,236,230,82
"G4800050000202","2018-2022","TX",,,"Texas","48","Angelina County","005",,,"000202",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48005000202",,,"48005000202","Census Tract 2.02, Angelina County, Texas",3368,2851,208,0,0,0,73,236,12,224,"Census Tract 2.02, Angelina County, Texas",657,584,119,15,15,15,87,279,24,279
"G4800050000301","2018-2022","TX",,,"Texas","48","Angelina County","005",,,"000301",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48005000301",,,"48005000301","Census Tract 3.01, Angelina County, Texas",5130,3630,651,113,0,0,0,736,224,512,"Census Tract 3.01, Angelina County, Texas",854,790,318,119,21,21,21,478,302,372
"G4800050000302","2018-2022","TX",,,"Texas","48","Angelina County","005",,,"000302",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48005000302",,,"48005000302","Census Tract 3.02, Angelina County, Texas",5803,4053,739,219,50,0,91,651,404,247,"Census Tract 3.02, Angelina County, Texas",842,639,204,286,57,21,117,534,480,290
"G4800050000400","2018-2022","TX",,,"Texas","48","Angelina County","005",,,"000400",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48005000400",,,"48005000400","Census Tract 4, Angelina County, Texas",5016,3803,565,0,0,0,78,570,460,110,"Census Tract 4, Angelina County, Texas",601,646,272,21,21,21,89,314,265,105
"G4800050000500","2018-2022","TX",,,"Texas","48","Angelina County","005",,,"000500",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48005000500",,,"48005000500","Census Tract 5, Angelina County, Texas",3815,789,2306,0,0,0,86,634,274,360,"Census Tract 5, Angelina County, Texas",646,351,557,15,15,15,137,376,265,233
"G4800050000600","2018-2022","TX",,,"Texas","48","Angelina County","005",,,"000600",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48005000600",,,"48005000600","Census Tract 6, Angelina County, Texas",6395,2643,1467,27,11,0,610,1637,1582,55,"Census Tract 6, Angelina County, Texas",863,598,381,44,19,21,408,765,763,37
"G4800050000700","2018-2022","TX",,,"Texas","48","Angelina County","005",,,"000700",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48005000700",,,"48005000700","Census Tract 7, Angelina County, Texas",3471,1909,447,0,19,0,302,794,778,16,"Census Tract 7, Angelina County, Texas",702,595,165,15,31,15,216,505,504,4
"G4800050000800","2018-2022","TX",,,"Texas","48","Angelina County","005",,,"000800",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48005000800",,,"48005000800","Census Tract 8, Angelina County, Texas",5861,4364,355,119,158,0,192,673,435,238,"Census Tract 8, Angelina County, Texas",655,572,230,214,122,21,189,500,465,185
"G4800050000902","2018-2022","TX",,,"Texas","48","Angelina County","005",,,"000902",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48005000902",,,"48005000902","Census Tract 9.02, Angelina County, Texas",3734,2528,624,0,253,0,82,247,154,93,"Census Tract 9.02, Angelina County, Texas",566,355,464,15,149,15,69,156,129,92
"G4800050000903","2018-2022","TX",,,"Texas","48","Angelina County","005",,,"000903",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48005000903",,,"48005000903","Census Tract 9.03, Angelina County, Texas",3023,2121,567,0,61,0,26,248,44,204,"Census Tract 9.03, Angelina County, Texas",449,362,298,15,61,15,46,165,63,151
"G4800050000904","2018-2022","TX",,,"Texas","48","Angelina County","005",,,"000904",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48005000904",,,"48005000904","Census Tract 9.04, Angelina County, Texas",3000,2025,503,114,0,0,225,133,31,102,"Census Tract 9.04, Angelina County, Texas",777,760,409,165,15,15,156,144,81,120
"G4800050001001","2018-2022","TX",,,"Texas","48","Angelina County","005",,,"001001",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48005001001",,,"48005001001","Census Tract 10.01, Angelina County, Texas",5104,3169,952,12,0,0,187,784,698,86,"Census Tract 10.01, Angelina County, Texas",566,501,325,26,21,21,158,304,298,50
"G4800050001002","2018-2022","TX",,,"Texas","48","Angelina County","005",,,"001002",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48005001002",,,"48005001002","Census Tract 10.02, Angelina County, Texas",4157,2330,653,0,80,0,30,1064,929,135,"Census Tract 10.02, Angelina County, Texas",420,443,296,15,77,15,29,290,282,102
"G4800050001101","2018-2022","TX",,,"Texas","48","Angelina County","005",,,"001101",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48005001101",,,"48005001101","Census Tract 11.01, Angelina County, Texas",3835,3018,45,0,7,0,0,765,401,364,"Census Tract 11.01, Angelina County, Texas",744,599,40,15,14,15,15,542,464,311
"G4800050001102","2018-2022","TX",,,"Texas","48","Angelina County","005",,,"001102",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48005001102",,,"48005001102","Census Tract 11.02, Angelina County, Texas",2817,2413,122,0,0,0,107,175,90,85,"Census Tract 11.02, Angelina County, Texas",436,385,126,15,15,15,132,126,95,72
"G4800050001200","2018-2022","TX",,,"Texas","48","Angelina County","005",,,"001200",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48005001200",,,"48005001200","Census Tract 12, Angelina County, Texas",2613,2523,0,0,19,0,0,71,16,55,"Census Tract 12, Angelina County, Texas",427,424,15,15,20,15,15,49,19,43
"G4800050001300","2018-2022","TX",,,"Texas","48","Angelina County","005",,,"001300",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48005001300",,,"48005001300","Census Tract 13, Angelina County, Texas",5510,5333,20,0,0,0,0,157,8,149,"Census Tract 13, Angelina County, Texas",957,947,26,21,21,21,21,123,13,122
"G4800070950101","2018-2022","TX",,,"Texas","48","Aransas County","007",,,"950101",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48007950101",,,"48007950101","Census Tract 9501.01, Aransas County, Texas",1850,1742,0,37,7,0,38,26,19,7,"Census Tract 9501.01, Aransas County, Texas",489,488,15,47,7,15,60,34,23,13
