program_label,program,entities,code,number_reported,rent_per_month,hh_income,tpoverty,treatment,year,post,poverty_indicator
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113000401,48113000401,39,297,11131,38,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113000405,48113000405,17,268,10446,40,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113000500,48113000500,25,202,8242,17,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113000601,48113000601,17,336,12377,35,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113000800,48113000800,123,326,11988,27,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113001202,48113001202,18,398,11523,20,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113001302,48113001302,17,208,8280,20,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113001400,48113001400,66,228,8905,29,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113001503,48113001503,24,214,8553,54,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113001504,48113001504,21,222,8656,31,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113001600,48113001600,220,308,12273,40,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113002000,48113002000,48,325,8981,38,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113002100,48113002100,140,190,7588,9,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113002500,48113002500,167,295,11653,25,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113002701,48113002701,88,378,10169,63,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113002702,48113002702,11,506,11533,40,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113003400,48113003400,20,367,11892,51,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113003700,48113003700,38,471,12500,32,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113003800,48113003800,35,444,12370,36,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113003901,48113003901,120,350,10308,37,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113003902,48113003902,22,434,11211,33,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113004000,48113004000,23,492,12682,32,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113004100,48113004100,18,313,11895,58,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113004500,48113004500,16,302,10723,17,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113004900,48113004900,62,502,13470,37,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113005400,48113005400,56,480,14846,43,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113005500,48113005500,15,497,11941,32,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113005600,48113005600,14,477,9079,37,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113005700,48113005700,31,476,14293,35,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113005901,48113005901,46,479,11704,34,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113005902,48113005902,93,442,12693,34,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113006001,48113006001,16,539,15520,47,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113006002,48113006002,266,373,13041,40,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113006100,48113006100,58,287,9670,33,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113006200,48113006200,70,289,9634,29,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113006700,48113006700,31,303,10319,30,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113006900,48113006900,80,357,11686,36,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113007102,48113007102,26,331,12408,20,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113007804,48113007804,33,668,18323,25,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113007809,48113007809,82,313,10814,17,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113007810,48113007810,42,259,8757,9,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113007811,48113007811,179,280,9373,33,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113007815,48113007815,31,375,11651,57,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113007818,48113007818,86,210,7752,35,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113007819,48113007819,29,316,10804,42,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113007820,48113007820,64,333,10721,34,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113007825,48113007825,154,289,10481,24,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113007827,48113007827,37,409,12351,30,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113007913,48113007913,18,384,14181,17,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113008200,48113008200,44,295,12556,16,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113008400,48113008400,14,525,13883,33,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113008500,48113008500,27,459,12281,29,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113008604,48113008604,117,315,9491,55,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113008701,48113008701,190,304,10668,52,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113008703,48113008703,30,508,13111,32,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113008704,48113008704,150,290,8689,37,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113008705,48113008705,19,415,15109,8,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113008801,48113008801,44,447,12852,28,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113008802,48113008802,59,374,10782,41,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113008900,48113008900,116,306,10327,52,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113009000,48113009000,186,420,13698,27,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113009101,48113009101,72,401,14125,25,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113009103,48113009103,31,538,15420,28,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113009104,48113009104,11,556,15904,32,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113009105,48113009105,11,523,16199,39,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113009201,48113009201,40,528,14041,16,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113009202,48113009202,33,462,14222,29,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113009301,48113009301,12,560,15625,33,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113009304,48113009304,315,313,11236,61,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113009604,48113009604,15,362,10705,13,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113009608,48113009608,15,453,18656,18,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113009610,48113009610,24,390,14985,46,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113009804,48113009804,25,355,12375,43,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113009900,48113009900,30,271,9831,16,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113010000,48113010000,138,410,14627,30,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113010101,48113010101,50,475,15055,37,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113010701,48113010701,53,412,13056,28,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113010703,48113010703,92,279,9691,34,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113010704,48113010704,66,339,12252,29,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113010801,48113010801,179,344,12091,22,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113010803,48113010803,68,340,12422,12,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113010804,48113010804,289,329,11589,33,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113010805,48113010805,136,394,14198,29,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113010902,48113010902,472,288,10111,27,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113010903,48113010903,166,300,11278,16,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113010904,48113010904,140,293,10362,37,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113011001,48113011001,83,483,14009,19,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113011002,48113011002,24,680,20073,13,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113011101,48113011101,44,497,12391,4,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113011103,48113011103,34,549,15388,30,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113011104,48113011104,47,581,15165,26,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113011105,48113011105,150,295,9781,39,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113011200,48113011200,312,458,15574,26,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113011300,48113011300,101,492,15902,23,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113011401,48113011401,480,339,12559,48,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113011500,48113011500,201,317,12137,60,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113011601,48113011601,174,276,10440,28,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113011602,48113011602,27,683,25087,27,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113011701,48113011701,68,402,13001,29,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113011702,48113011702,94,424,14466,23,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113011800,48113011800,232,356,11408,42,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113011900,48113011900,96,485,13362,25,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113012000,48113012000,357,296,10022,18,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113012100,48113012100,268,396,12690,28,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113012204,48113012204,114,360,12131,26,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113012206,48113012206,81,247,9383,14,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113012207,48113012207,110,423,13083,22,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113012208,48113012208,200,278,9752,51,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113012209,48113012209,12,419,10152,29,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113012210,48113012210,75,289,9951,42,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113012211,48113012211,122,290,9916,27,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113012301,48113012301,25,438,13874,27,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113012302,48113012302,430,347,11113,47,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113012400,48113012400,15,427,13994,11,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113012500,48113012500,18,456,11467,22,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113012601,48113012601,30,592,16155,29,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113012604,48113012604,87,305,10414,29,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113012701,48113012701,39,469,14027,23,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113012800,48113012800,16,297,11425,11,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113013007,48113013007,25,371,14175,13,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113013008,48113013008,15,383,14100,16,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113013010,48113013010,24,420,11042,30,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113013011,48113013011,72,369,13767,28,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113013105,48113013105,16,386,13689,24,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113013609,48113013609,20,526,20303,12,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113013615,48113013615,23,319,12987,26,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113013621,48113013621,14,415,16041,19,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113013623,48113013623,13,403,15605,19,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113013711,48113013711,14,280,10763,18,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113013718,48113013718,26,322,11598,24,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113013720,48113013720,33,374,13677,16,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113013722,48113013722,11,402,14092,12,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113014103,48113014103,18,411,17945,26,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113014114,48113014114,25,456,17192,17,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113014115,48113014115,72,421,15322,13,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113014121,48113014121,29,331,14973,9,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113014127,48113014127,36,368,14666,6,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113014130,48113014130,57,333,13823,6,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113014131,48113014131,70,370,15358,9,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113014132,48113014132,227,295,12632,13,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113014306,48113014306,24,481,18117,17,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113014309,48113014309,62,344,11319,41,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113014310,48113014310,137,381,14318,20,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113014312,48113014312,95,382,13899,7,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113014405,48113014405,15,293,12278,19,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113014407,48113014407,38,365,12919,18,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113014601,48113014601,18,378,13122,11,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113014602,48113014602,21,306,10625,19,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113014701,48113014701,11,382,11143,33,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113014902,48113014902,11,393,13615,25,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113015000,48113015000,20,353,12801,26,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113015100,48113015100,36,408,13215,18,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113015204,48113015204,15,530,14671,19,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113015205,48113015205,27,322,13362,21,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113015305,48113015305,37,320,12631,11,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113015306,48113015306,59,344,12534,10,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113015403,48113015403,43,294,10808,29,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113015404,48113015404,120,383,14967,34,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113015500,48113015500,35,273,11108,23,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113015900,48113015900,129,364,12959,15,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016001,48113016001,22,418,15096,23,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016002,48113016002,37,308,12620,39,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016100,48113016100,149,395,14692,28,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016201,48113016201,72,285,11737,18,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016202,48113016202,128,283,10645,26,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016301,48113016301,29,494,18120,12,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016302,48113016302,24,243,9856,20,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016401,48113016401,62,504,18371,10,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016406,48113016406,97,337,14114,15,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016407,48113016407,79,432,17010,27,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016408,48113016408,58,411,15674,14,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016410,48113016410,21,420,15669,11,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016411,48113016411,72,457,17277,9,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016413,48113016413,12,423,13629,6,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016502,48113016502,23,430,15119,13,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016509,48113016509,64,441,16647,14,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016510,48113016510,153,524,18473,12,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016511,48113016511,101,439,15635,17,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016513,48113016513,20,613,20282,6,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016514,48113016514,76,460,18038,3,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016516,48113016516,104,305,11585,16,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016517,48113016517,82,400,16057,13,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016518,48113016518,146,321,13022,19,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016520,48113016520,129,379,13429,16,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016521,48113016521,86,368,14464,25,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016522,48113016522,41,490,18585,12,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016605,48113016605,681,358,12964,33,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016606,48113016606,116,430,15754,9,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016607,48113016607,148,315,11142,25,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016610,48113016610,125,339,12226,24,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016611,48113016611,64,545,17285,10,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016612,48113016612,71,563,17980,2,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016615,48113016615,75,521,18905,12,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016616,48113016616,112,470,17123,15,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016617,48113016617,12,478,14669,3,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016618,48113016618,30,465,16110,15,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016619,48113016619,102,320,13073,17,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016620,48113016620,53,496,15437,11,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016621,48113016621,58,464,16544,16,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016622,48113016622,80,361,14000,6,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016623,48113016623,95,565,21362,16,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016624,48113016624,83,474,18121,3,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016625,48113016625,66,453,17489,7,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016626,48113016626,156,387,13798,30,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016701,48113016701,128,505,15840,24,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016703,48113016703,342,405,15413,23,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016704,48113016704,194,488,16532,14,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016705,48113016705,210,402,14823,16,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016802,48113016802,17,743,25511,6,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016803,48113016803,85,442,16671,14,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016804,48113016804,130,582,20213,6,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016902,48113016902,14,561,18143,23,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017001,48113017001,41,418,15185,14,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017003,48113017003,51,404,13965,14,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017004,48113017004,23,512,17545,30,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017101,48113017101,44,463,16144,26,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017102,48113017102,26,641,21058,30,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017201,48113017201,78,354,11714,29,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017202,48113017202,168,382,12684,36,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017301,48113017301,49,462,14310,20,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017303,48113017303,76,471,18219,14,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017304,48113017304,64,474,18592,11,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017305,48113017305,90,465,18570,11,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017306,48113017306,56,469,18625,17,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017400,48113017400,55,517,18047,16,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017500,48113017500,26,379,15418,14,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017602,48113017602,48,446,16634,11,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017604,48113017604,53,334,12895,12,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017605,48113017605,57,547,15705,26,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017606,48113017606,64,455,17073,19,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017702,48113017702,254,334,13214,15,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017703,48113017703,283,362,14706,27,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017704,48113017704,143,331,13330,16,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017804,48113017804,102,292,11395,20,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017805,48113017805,251,321,13011,18,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017806,48113017806,108,324,12402,20,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017807,48113017807,38,465,16230,12,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017808,48113017808,14,575,19882,8,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017811,48113017811,21,674,21902,8,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017812,48113017812,33,482,16196,3,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017813,48113017813,64,456,16625,14,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017814,48113017814,21,527,18396,5,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017900,48113017900,52,420,15675,24,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018001,48113018001,41,414,14673,13,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018002,48113018002,28,545,20213,21,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018104,48113018104,79,315,11860,6,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018105,48113018105,45,395,14946,25,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018111,48113018111,201,360,13596,12,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018118,48113018118,58,464,16369,9,1,2014,0,0
