program_label,program,entities,code,number_reported,rent_per_month,hh_income,tpoverty,treatment,year,post,poverty_indicator
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201533100,48201533100,33,486,14802,25,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201533200,48201533200,86,406,14766,26,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201533300,48201533300,75,338,12265,42,0,2022,1,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201533400,48201533400,67,559,19540,15,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201533600,48201533600,97,528,20283,34,0,2022,1,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201533701,48201533701,20,442,13493,40,0,2022,1,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201533801,48201533801,35,661,19228,18,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201533901,48201533901,37,561,16673,14,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201533902,48201533902,253,376,14762,35,0,2022,1,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201534003,48201534003,12,855,23463,20,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201534100,48201534100,14,491,14569,21,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201534202,48201534202,42,457,16215,5,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201540100,48201540100,24,337,12179,3,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201540501,48201540501,18,271,10506,39,0,2022,1,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201540502,48201540502,31,687,22186,7,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201540601,48201540601,20,756,20658,9,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201540602,48201540602,81,421,15468,7,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201540700,48201540700,15,906,39600,6,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201540800,48201540800,19,389,15690,15,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201541003,48201541003,13,845,29701,7,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201541300,48201541300,106,450,16903,17,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201541400,48201541400,40,619,19963,11,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201541500,48201541500,28,509,19896,14,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201541601,48201541601,11,722,26085,5,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201541602,48201541602,20,622,23893,21,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201541700,48201541700,46,518,17649,4,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201541900,48201541900,13,622,17188,8,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201542000,48201542000,28,626,20826,3,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201542101,48201542101,94,524,18931,6,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201542102,48201542102,70,644,20493,7,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201542200,48201542200,76,570,20980,6,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201542301,48201542301,21,472,18506,4,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201542302,48201542302,27,625,22286,6,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201542400,48201542400,33,508,18265,13,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201542600,48201542600,26,320,13861,3,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201542800,48201542800,17,432,17898,3,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201542900,48201542900,41,574,20345,7,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201543001,48201543001,53,715,24037,2,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201543002,48201543002,29,532,19148,5,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201543003,48201543003,211,591,20390,8,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201543200,48201543200,34,263,10709,12,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201550100,48201550100,126,386,15216,44,0,2022,1,1
