code,year,number_reported,tpoverty,poverty_indicator,Total,White_alone,Black_or_African_American_alone,Asian_alone,Some_other_race_alone,Two_or_more_races,Two_races_including_some_other_race,Two_races_excluding_some_other_and_three_plus
48113007815,2018-2022,21.8,39.0,1,5044,823,1437,1409,434,879,142,737
48113007818,2013-2017,67.0,35.6,1,5472,2741,1494,479,670,88,0,88
48113007819,2013-2017,27.6,35.8,1,2289,1364,642,28,191,64,35,29
48113007819,2018-2022,14.8,23.0,0,2311,868,510,23,531,370,258,112
48113007820,2013-2017,52.8,43.2,1,7142,3134,2126,1023,691,168,0,168
48113007821,2013-2017,12.0,22.0,0,4005,1980,1132,99,436,358,69,289
48113007825,2013-2017,115.2,23.6,0,5601,3624,1335,82,472,27,27,0
48113007825,2018-2022,19.2,11.6,0,4917,2555,1154,111,801,273,252,21
48113007827,2013-2017,36.0,25.6,0,2880,971,1461,0,235,213,67,146
48113007827,2018-2022,16.6,17.4,0,2905,1212,1124,0,369,162,69,93
48113007902,2013-2017,13.0,11.25,0,5185,4793,172,71,38,79,8,71
48113007902,2018-2022,12.0,7.0,0,5077,4231,261,61,149,297,135,162
48113007913,2013-2017,16.666666666666668,12.333333333333334,0,2909,2372,387,60,64,26,0,26
48113008200,2013-2017,40.0,15.2,0,3873,3142,452,170,8,94,0,94
48113008400,2013-2017,12.25,31.25,1,9259,8335,303,0,598,23,0,23
48113008500,2013-2017,25.4,29.2,0,5266,4319,730,40,134,38,0,38
48113008500,2018-2022,14.333333333333334,29.333333333333332,0,4086,2401,266,0,245,1149,1127,22
48113008604,2013-2017,166.2,54.0,1,2933,968,1886,0,0,79,14,65
48113008604,2018-2022,129.2,51.6,1,2590,369,1712,0,206,303,209,94
48113008701,2013-2017,226.4,48.6,1,4708,263,4196,0,6,243,16,227
48113008701,2018-2022,218.0,38.8,1,5337,377,4051,0,578,331,302,29
48113008703,2013-2017,27.6,36.0,1,3063,1392,1614,0,49,8,0,8
48113008703,2018-2022,19.0,40.25,1,3855,858,1394,0,477,1073,1073,0
48113008704,2013-2017,145.8,39.4,1,3758,439,3192,0,106,0,0,0
48113008704,2018-2022,111.0,40.8,1,4301,1244,2647,0,267,143,143,0
48113008705,2013-2017,19.4,14.0,0,1310,457,738,0,108,4,0,4
48113008705,2018-2022,13.0,21.0,0,1653,262,736,0,558,97,97,0
48113008801,2013-2017,66.6,29.6,0,2902,678,2008,0,123,79,19,60
48113008801,2018-2022,51.0,21.4,0,2703,258,1897,0,245,303,237,66
48113008802,2013-2017,54.8,45.6,1,5290,2051,2927,0,188,84,0,84
48113008802,2018-2022,22.0,40.6,1,5337,336,3238,0,604,1159,1080,79
48113008900,2013-2017,117.4,44.4,1,3010,852,1984,0,161,13,0,13
48113009000,2013-2017,168.8,28.4,0,8806,5393,2442,0,776,195,127,68
48113009101,2013-2017,75.0,28.8,0,6039,4465,1345,21,143,65,0,65
48113009101,2018-2022,38.0,26.0,0,5572,1984,1272,0,372,1944,1862,82
48113009103,2013-2017,28.8,29.8,0,3630,2629,818,0,161,22,22,0
48113009103,2018-2022,11.0,28.0,0,3538,1499,994,0,306,674,655,19
48113009104,2013-2017,14.5,33.0,1,3965,3220,659,0,69,17,14,3
48113009105,2013-2017,11.666666666666666,32.333333333333336,1,3616,3009,284,0,318,5,0,5
48113009201,2013-2017,32.8,22.4,0,7086,5559,1294,10,169,54,22,32
48113009202,2013-2017,29.2,31.6,1,6413,5231,953,0,164,65,65,0
48113009202,2018-2022,14.5,26.75,0,5889,2668,1034,12,688,1487,1431,56
48113009301,2013-2017,12.0,30.666666666666668,1,5409,4805,151,57,317,79,44,35
48113009304,2013-2017,355.8,58.8,1,6368,1993,4239,0,136,0,0,0
48113009304,2018-2022,319.2,54.2,1,8451,1419,4728,0,43,2261,2042,219
48113009603,2018-2022,12.0,3.0,0,4997,3396,120,461,380,615,231,384
48113009604,2013-2017,16.333333333333332,16.666666666666668,0,4688,3873,635,28,134,18,9,9
48113009605,2013-2017,120.0,16.0,0,3375,2163,126,292,645,100,48,52
48113009605,2018-2022,125.4,6.2,0,3506,1100,521,170,1154,513,488,25
48113009608,2013-2017,14.5,17.5,0,3495,2621,238,83,280,262,132,130
48113009610,2013-2017,22.4,41.2,1,4826,4575,76,0,110,0,0,0
48113009611,2018-2022,35.8,8.6,0,3618,2210,154,239,645,234,234,0
48113009804,2013-2017,21.2,43.8,1,8067,7671,217,0,172,0,0,0
48113009804,2018-2022,11.0,34.0,1,7341,3557,89,86,3146,412,352,60
48113009900,2013-2017,21.4,17.4,0,3144,1733,475,727,74,135,0,135
48113009900,2018-2022,17.333333333333332,11.333333333333334,0,6024,1956,1346,1271,544,907,623,284
48113010000,2013-2017,161.8,28.2,0,10448,4662,4648,186,328,507,33,474
48113010101,2013-2017,40.4,33.8,1,4929,2537,1924,0,452,0,0,0
48113010101,2018-2022,15.0,30.2,1,4212,1383,1440,18,550,762,422,340
48113010701,2013-2017,77.2,28.6,0,4928,4065,137,19,633,74,56,18
48113010701,2018-2022,76.0,28.2,0,6037,2375,707,47,1763,1020,783,237
48113010703,2013-2017,69.8,29.0,0,3042,2334,314,8,386,0,0,0
48113010704,2013-2017,92.2,28.2,0,5318,3840,1260,42,176,0,0,0
48113010704,2018-2022,118.0,36.4,1,6331,1877,2247,124,795,1280,1280,0
48113010801,2013-2017,169.0,24.6,0,9783,7469,1355,185,657,117,117,0
48113010803,2013-2017,72.0,13.0,0,7108,3587,2939,0,535,47,0,47
48113010804,2013-2017,288.8,38.2,1,5372,3006,1561,0,605,187,27,160
48113010804,2018-2022,178.0,35.0,1,4980,2233,1708,0,976,63,25,38
48113010805,2013-2017,144.6,27.4,0,6368,3651,1589,36,774,234,95,139
48113010805,2018-2022,114.6,19.6,0,5260,2271,1537,55,953,444,409,35
48113010902,2013-2017,535.8,27.0,0,7572,792,6472,49,52,207,0,207
48113010903,2013-2017,207.2,21.6,0,3711,1314,1746,2,556,74,0,74
48113010903,2018-2022,170.0,25.4,0,3975,299,2636,0,406,536,414,122
48113010904,2013-2017,150.8,32.2,1,3696,707,2675,0,159,147,20,127
48113010904,2018-2022,166.2,38.6,1,4264,247,3607,24,231,146,74,72
48113011001,2013-2017,78.8,19.6,0,7342,857,6359,1,66,59,0,59
48113011002,2013-2017,21.25,12.5,0,3546,758,2571,14,72,120,0,120
48113011101,2013-2017,40.4,7.8,0,4341,761,3356,0,212,0,0,0
48113011101,2018-2022,32.4,14.0,0,4682,643,3278,0,414,347,347,0
48113011103,2013-2017,28.6,25.0,0,3472,1648,1636,52,129,7,0,7
48113011103,2018-2022,12.333333333333334,28.333333333333332,0,3442,1282,1419,18,438,285,262,23
48113011104,2013-2017,45.2,34.0,1,4272,1388,2503,0,240,95,5,90
48113011104,2018-2022,26.6,38.6,1,4620,1083,2564,0,629,344,313,31
48113011105,2013-2017,140.4,40.2,1,4331,1650,2561,0,77,43,0,43
48113011105,2018-2022,67.8,31.6,1,5586,1629,2755,0,577,625,625,0
48113011200,2013-2017,295.2,24.6,0,7023,1519,5190,13,259,42,0,42
48113011300,2013-2017,118.8,21.4,0,4997,553,4395,0,42,0,0,0
48113011300,2018-2022,102.8,24.0,0,5698,853,4222,0,295,320,301,19
48113011401,2013-2017,468.4,44.6,1,4820,565,4008,0,61,165,13,152
48113011401,2018-2022,429.4,44.4,1,5718,526,4267,121,286,518,166,352
48113011500,2013-2017,181.0,52.6,1,3876,2121,1478,0,277,0,0,0
48113011500,2018-2022,191.4,33.6,1,4907,1464,1787,0,537,1119,1105,14
48113011601,2013-2017,200.8,30.8,1,4369,1866,2392,0,70,41,36,5
48113011601,2018-2022,138.4,32.0,1,4526,1780,1592,0,428,559,559,0
48113011602,2013-2017,26.4,25.8,0,6932,5370,1063,21,386,92,92,0
48113011701,2013-2017,62.0,29.2,0,6883,4681,1690,0,467,21,21,0
48113011701,2018-2022,32.0,28.2,0,6712,3381,916,0,703,1696,1596,100
48113011702,2013-2017,91.4,28.2,0,6018,4814,702,100,301,101,0,101
